MO,K,COST,PEG,RL,T,NVDA,SHW,WELL,META
0.00042867835193760584,0.004849593607690883,0.009996424700831508,-0.005610476307353007,-0.013177276918655223,-0.0010928826320157903,-0.011777150969533356,-0.013528877340967305,-0.003428360130094843,-0.0026259714915912724
0.0002141589833597468,-0.0076552150824534815,0.0034890928897264306,-0.01300126773085053,-0.0011539192053755531,-0.009846704980998489,-0.0009091573667889818,-0.03982761145342739,-0.008026679505745093,-0.0016202132944832526
-0.004496817363797478,-0.009055873035369033,0.003264013702951596,0.007683992091730429,0.03603453813582269,-0.013259724128464767,0.0074614451281571625,0.003973107067109627,-0.002697259444081057,0.01955538125276579
-0.0019358114831765638,0.0104924293719455,0.001143356264822204,0.003131770971386505,-0.010673294843532632,0.0,-0.007143933628336763,0.009859867583316806,-0.000676157372697328,0.009689607146761814
-0.011422432646372882,-0.01591018999084237,-0.0017661691704010662,-0.008551672017727774,-0.0001074499700122189,-0.01399769813732954,0.0354808491687586,0.011114963073997952,-0.005702638895772827,0.002699607576718277
-0.0026162086952518093,-0.0005105751239922185,-0.002181984592162567,0.002327375957313249,5.3855616837239495e-05,0.003406998357753155,0.035223758182210796,0.0038757705482972415,0.009720964321718206,-0.009315260485995736
-0.010051289282952625,-0.020602655073302056,0.01147805795929746,-0.007785767297241009,-0.03553421978067728,-0.0016977718518990104,0.017513953379103997,-0.011516058259381179,0.0016366143733188565,0.0011120220323999064
0.008574104506655633,0.010431028766654915,0.014304532211080856,0.0059196504706000574,0.018087682471885413,0.0017006591831898454,-0.0068242855545774805,0.019731374241226618,-0.0024027433083316785,0.004899248382965293
0.002237057068886328,0.011699939203858811,0.0032722128191629007,0.003010850186659253,-0.005685127500641873,0.02150533726591619,0.03511982522063284,-0.008783302763646694,0.0014451182331636225,-0.014093212602126926
0.014062488596173983,-0.018367273652911797,-0.009543516104115413,0.003956818104638549,0.01478918663437745,0.0033241698803236908,-0.035403529951317014,0.003864150890792395,-0.008755148127418733,0.004424593356058937
0.006823692026473482,-0.004158062250928629,-0.0163836678063638,-0.007746509638390187,-0.010672980642641883,0.016013275231111512,-0.03219145852701322,-0.00029855659526223377,-0.006891137757122245,-0.013793124058585904
0.01552256909603078,0.013569890534571583,-0.00017689742740800707,0.023832275460440755,0.007392908714420443,0.013586896654470992,-0.0668404911581939,-0.002356788941200727,0.006352603045471028,0.008347094364163476
-0.0006459545240367071,-0.0032611938791462514,0.008665818527547886,-0.015786069393658453,-0.009349891674743316,0.0021448531809098448,0.06756414751885997,-0.019530827293669062,-0.019811558232305737,0.02343117286928198
-0.0012924832226320904,-0.011882226847989341,0.0015547260336794544,-0.006252474933575836,-0.013169537350802063,0.003745379076020239,0.0024585427309034014,0.00739771135393319,0.008917024595099354,0.004935256186568759
-0.019413296256778345,0.005228342017363108,-0.00725928110025742,0.00013691776866076033,-0.022075159875047157,-0.0005331493411850907,-0.019066475289097773,0.00047160697953452235,0.014926875237656345,0.012550693428376114
0.0019797988767287222,0.0,-0.0007406486348162655,0.007932034062355209,8.5701959444906e-05,0.019199975682956172,-0.0036292717969877986,0.004814857713314025,0.008708227399345958,-0.029524908862831878
0.01053779823300971,-0.016643513527971,-0.005082425662803036,-0.000949904877184049,-0.017079765552933446,-0.006802636792289873,0.006151904622035964,-0.00884616784458514,-0.0023980525368098027,0.0009122150769149684
0.00043453648637559183,-0.0003526256807653283,0.01618832880278065,-0.0006790123718427576,-0.019352627000717715,-0.008430032527470321,-0.013113513335636817,-0.003854223371026033,0.018942320512826294,0.009550673042795665
-0.0021714757567337095,-0.0005291938128709761,0.003840060059969952,0.005572151246953094,-0.00604484687528184,-0.007438802779490383,0.045732532734792164,0.008722290215997353,-0.005850717843044584,0.0009028217729647459
0.0032643019877296453,-0.005117240476617324,0.026673333749611228,0.0010812602851009157,0.0056641077019699,0.004818034540993166,-0.01909882905028948,-0.005113998404690068,0.010726165607045202,0.058730025392771834
-0.0017353315535779679,-0.003370076742283068,-0.005453451359947792,0.007020390088851247,0.04980145173520767,0.0021309266296654084,0.018834746915271205,0.015387039100053013,-0.019346305362775484,-0.019614208337290995
0.01477622254084432,0.0032034966750331684,0.006822937663312434,0.013272622426056202,0.013666978243217276,-0.0005316255312121099,0.024805217935426782,-0.004462782374899499,0.0039263821236936725,0.0012845924289166533
0.004925086442709503,0.009224709591004077,-0.002864048426983623,0.009393970644267613,-0.0028413617452310858,0.011769872320657404,0.026868613716149348,0.021611633755348914,-0.002670940924342169,0.008849094635708266
0.0031962223694794734,-0.0008788614710527609,-0.04265467814614543,0.003145884527292031,0.027712540694071475,0.006403494760412576,-0.05566683907882142,0.028162708691960026,0.0009564089634499506,-0.04112669011815595
0.01380622650758112,-0.005277944366576026,-0.004358662895043275,-0.0032667161657644606,-0.012830297663308676,-0.002651189895748196,0.014442756991571715,0.01401400538125741,-0.004300025467477098,-0.026974928601938397
-0.00020948750914873138,-0.003891024577445057,0.0069166404639624535,-0.022810627919512272,-0.057935830452413684,-0.012227471543248214,-0.006190047788170339,0.00031410273943022204,0.010940432073134998,-0.005432194842859062
0.006496319412141238,0.012961626786467395,0.0024035590977289356,0.0,0.012451737652043438,0.014531641577173904,-0.016194296863952462,0.024900236063458925,0.00569593584964001,-0.01283854280050789
0.028315538524714245,0.033304095074758955,-0.005277516151463768,0.008183487471520756,-0.020035840316764975,0.016445679875528363,-0.06623941353933993,-0.00183815748727012,0.008023400096207611,-0.05675905490973665
-0.001214761456255653,-0.002035585809504581,-0.008165209936339624,-0.016234227019213066,-0.011489358993362453,-0.0005219357480377163,0.026273408818646926,-0.0010434998431303466,-0.007866048516941948,0.030000653047686177
0.00243247779277711,-0.014788397558830657,-0.0014772500855534387,0.009603840903161798,-0.014663118639415051,-0.0015665216776329371,-0.02609626397746312,-0.011091901313343255,0.013780163409786494,0.0019754490286760795
-0.0010110049748627281,-0.006038658951375453,0.011084091540104035,0.015809123551706605,0.017542919466702722,-0.02981185171535594,0.04757061048647082,0.0015534366331888538,0.011358371613677365,0.022252938335356243
